total_yards,Humidity,Roof_outdoors,Roof_retractable roof (closed),Roof_retractable roof (open),Surface_fieldturf,Surface_fieldturf ,Surface_grass,Surface_sportturf,Temperature,Wind_Speed,pass_rating
198,0.6962025316455696,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27586206896551735,0.2,0.6298168035375868
3,0.6962025316455696,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27586206896551735,0.2,0.3550221099178774
222,0.9240506329113922,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31034482758620685,0.6,0.6835123183828173
338,0.9240506329113922,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31034482758620685,0.6,0.5161086544535691
251,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551724137931036,0.8666666666666667,0.40050536955148447
289,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551724137931036,0.8666666666666667,0.5123183828174351
282,0.24050632911392406,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6551724137931036,0.8,0.503474415666456
194,0.24050632911392406,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6551724137931036,0.8,0.4042956411876184
314,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.7460518003790271
307,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.7650031585596967
242,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.46178142766898284
260,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.912192040429564
213,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.39102969046114966
29,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.7498420720151611
253,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.5773847125710676
234,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1724137931034484,0.4666666666666667,0.607706885660139
218,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1724137931034484,0.4666666666666667,0.4788376500315855
313,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.4459886291850915
383,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.8338597599494629
242,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.655085281111813
190,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.7075173720783322
-2,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.0
305,0.4430379746835443,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5862068965517242,0.6666666666666666,0.6563487049905243
