total_yards,Humidity,Roof_outdoors,Roof_retractable roof (closed),Roof_retractable roof (open),Surface_fieldturf,Surface_fieldturf ,Surface_grass,Surface_sportturf,Temperature,Wind_Speed,pass_rating
211,0.6962025316455696,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0344827586206895,0.6666666666666666,0.5773847125710676
239,0.6962025316455696,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0344827586206895,0.6666666666666666,0.39229311433986097
186,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.2,0.4358812381554011
237,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.2,0.45546430827542633
272,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2413793103448274,0.6666666666666666,0.8420720151610865
-2,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2413793103448274,0.6666666666666666,0.0
285,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2413793103448274,0.6666666666666666,0.4042956411876184
407,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.6948831332912191
321,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.47504737839545164
417,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,1.0
312,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.6032849020846494
22,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.519898926089703
380,0.5063291139240507,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.4,0.9046114971572962
-1,0.5063291139240507,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.4,0.2501579279848389
281,0.5063291139240507,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.4,0.7738471257106758
