,Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezz Sales
310,4/22/2021,"4,181.75", Thursday,22,4,21,"ivery

 Total

 1,454.25", 415.50," 1,591.00"
311,4/23/2021,"8,421.39", Friday,23,4,21,"ivery

 Total

 2,011.95", 720.50," 1,487.00"
312,4/24/2021,"16,046.13", Saturday,24,4,21," 6,656.45", 784.50," 1,829.75"
313,4/27/2021,"4,471.35", Tuesday,27,4,21," 1,683.02", 358.50," 1,311.24"
314,4/28/2021,"3,815.49", Wednesday,28,4,21," 1,528.00", 394.50," 1,298.50"
315,4/29/2021,"7,279.94", Thursday,29,4,21," 2,261.00", 600.00," 1,426.55"
316,4/30/2021,"12,824.95", Friday,30,4,21," 2,681.75", 732.00," 2,942.00"
317,5/1/2021,"11,907.86", Saturday,1,5,21,"ivery

 Total

 4,098.20"," 1,544.00"," 3,251.00"
318,5/4/2021,"5,452.61", Tuesday,4,5,21," 3,681.00", 9.00, 555.50
319,5/5/2021,"6,534.22", Wednesday,5,5,21," 1,366.96", 389.00," 1,612.70"
320,5/6/2021,"9,321.25", Thursday,6,5,21, 546.75, 348.75, 699.50
321,5/7/2021,"10,823.56", Friday,7,5,21, 714.25, 396.25, 694.75
322,5/8/2021,"15,177.39", Saturday,8,5,21," 1,726.50", 751.25," 2,561.00"
323,5/11/2021,"5,381.79", Tuesday,11,5,21," 1,852.25", 378.50," 1,609.75"
324,5/12/2021,"6,468.53", Wednesday,12,5,21, 515.36, 341.00, 534.86
325,5/13/2021,"9,282.98", Thursday,13,5,21, 853.00, 348.00, 437.00
326,5/14/2021,"15,689.36", Friday,14,5,21, 495.00, 206.50, 282.74
327,5/15/2021,"22,818.71", Saturday,15,5,21," 1,702.50", 338.00," 1,545.40"
328,5/16/2021,"5,992.10", Sunday,16,5,21," 1,372.50", 125.00, 726.00
329,5/18/2021,"6,421.24", Tuesday,18,5,21, 946.31, 493.50, 931.84
330,5/19/2021,"3,652.36", Wednesday,19,5,21, 464.75, 410.87, 545.24
331,5/20/2021,"5,276.86", Thursday,20,5,21, 648.50, 318.25, 842.12
332,5/21/2021,"8,031.82", Friday,21,5,21," 1,059.25", 962.00," 1,183.00"
333,5/22/2021,"8,007.90", Saturday,22,5,21, 975.00, 572.75," 1,403.25"
334,5/25/2021,"3,385.11", Tuesday,25,5,21, 784.27, 514.25, 703.39
335,5/26/2021,"4,132.35", Wednesday,26,5,21, 639.00, 445.25, 190.00
336,5/27/2021,"2,215.26", Thursday,27,5,21, 598.50, 291.50, 613.75
337,5/28/2021,"10,857.90", Friday,28,5,21," 1,043.87", 557.25, 950.37
338,5/29/2021,"8,496.20", Saturday,29,5,21," 1,198.80", 905.00," 1,686.50"
339,6/1/2021,"4,986.74", Tuesday,1,6,21, 851.81, 264.12, 945.82
340,6/2/2021,"3,520.51", Wednesday,2,6,21, 671.74, 589.50," 1,034.75"
341,6/3/2021,"5,850.75", Thursday,3,6,21, 423.75, 244.00, 110.00
342,6/4/2021,"9,308.87", Friday,4,6,21," 1,218.00", 447.50," 1,421.75"
343,6/5/2021,"7,470.85", Saturday,5,6,21," 2,162.50"," 1,079.75"," 2,282.00"
344,6/8/2021,"4,804.77", Tuesday,8,6,21, 941.73, 399.50, 809.91
345,6/9/2021,"2,817.84", Wednesday,9,6,21, 601.25, 321.50, 704.75
346,6/10/2021,"4,718.56", Thursday,10,6,21, 615.10, 257.00, 604.50
347,6/11/2021,"7,302.87", Friday,11,6,21," 1,902.87", 626.25," 1,497.50"
348,6/12/2021,"8,231.68", Saturday,12,6,21," 2,747.46", 572.25," 1,967.00"
349,6/14/2021,0.00, Monday,14,6,21," 1,703.47", 218.75, 992.38
350,6/15/2021,"4,456.15", Tuesday,15,6,21," 1,341.24", 501.50, 42.50
351,6/16/2021,"4,836.12", Wednesday,16,6,21, 876.25, 189.75, 687.25
352,6/17/2021,"3,678.02", Thursday,17,6,21," 1,695.00", 619.75, 547.50
353,6/18/2021,"6,714.72", Friday,18,6,21, 386.50, 536.25, 372.75
354,6/19/2021,"14,917.29", Saturday,19,6,21, 983.36, 345.50, 734.40
355,6/21/2021,196.21, Monday,21,6,21, 464.48, 356.50, 346.50
356,6/22/2021,"5,363.52", Tuesday,22,6,21, 578.25, 311.50, 337.50
357,6/23/2021,"3,709.09", Wednesday,23,6,21," 2,231.25", 544.00, 823.75
358,6/24/2021,"4,399.42", Thursday,24,6,21," 1,420.50", 692.50, 758.75
359,6/25/2021,"8,521.07", Friday,25,6,21," 1,145.13", 256.25," 1,087.11"
360,6/26/2021,"7,772.63", Saturday,26,6,21, 583.49, 558.75, 782.20
361,6/27/2021,0.00, Sunday,27,6,21, 597.00, 497.50, 743.75
362,6/29/2021,"3,886.14", Tuesday,29,6,21," 1,896.05", 489.75," 1,516.50"
363,6/30/2021,"4,732.05", Wednesday,30,6,21," 2,040.25", 939.75," 1,903.00"
364,7/1/2021,"3,079.04", Thursday,1,7,21," 1,175.85", 203.75, 717.87
365,7/2/2021,"6,042.26", Friday,2,7,21, 578.50, 351.25, 341.00
366,7/3/2021,"5,192.03", Saturday,3,7,21, 782.25, 186.50, 357.00
367,7/5/2021,0.00, Monday,5,7,21," 2,301.50"," 1,013.25"," 1,551.75"
368,7/6/2021,"4,736.57", Tuesday,6,7,21," 1,851.00", 491.25," 1,418.50"
369,7/7/2021,"2,608.25", Wednesday,7,7,21, 569.40, 335.50, 637.31
370,7/8/2021,"3,801.23", Thursday,8,7,21, 550.25, 396.50, 314.50
371,7/9/2021,"8,198.98", Friday,9,7,21, 424.00, 281.00, 244.00
372,7/10/2021,"8,382.45", Saturday,10,7,21, 954.00, 580.00, 416.25
373,7/11/2021,0.00, Sunday,11,7,21, 830.50, 676.50, 881.00
374,7/13/2021,"5,371.20", Tuesday,13,7,21, 571.10, 362.75, 537.90
375,7/14/2021,"4,616.06", Wednesday,14,7,21," 1,070.00", 422.25," 1,003.48"
376,7/15/2021,"4,724.47", Thursday,15,7,21, 655.12, 393.00, 966.75
377,7/16/2021,"9,094.29", Friday,16,7,21," 1,900.05", 562.25," 1,307.00"
378,7/17/2021,"7,241.87", Saturday,17,7,21," 2,211.75", 880.00," 1,490.50"
379,7/20/2021,"4,436.89", Tuesday,20,7,21," 1,206.24", 616.00, 991.61
380,7/21/2021,"3,669.95", Wednesday,21,7,21," 1,808.99", 324.50," 1,601.72"
381,7/22/2021,"4,685.56", Thursday,22,7,21, 985.75, 205.75," 1,576.00"
382,7/23/2021,"10,494.34", Friday,23,7,21," 1,949.85", 550.25," 1,929.24"
383,7/24/2021,"8,960.29", Saturday,24,7,21," 1,899.75", 950.50," 1,848.50"
384,7/27/2021,"3,354.25", Tuesday,27,7,21," 1,199.87", 348.25, 763.27
385,7/28/2021,"2,634.40", Wednesday,28,7,21," 1,004.50", 574.00, 914.50
386,7/29/2021,"3,054.57", Thursday,29,7,21, 349.50, 361.50, 477.75
387,7/30/2021,"5,578.65", Friday,30,7,21," 1,636.00", 626.37, 896.00
388,7/31/2021,"5,440.90", Saturday,31,7,21," 2,061.00", 696.00," 1,925.25"
389,8/3/2021,"3,911.96", Tuesday,3,8,21,,0,0
390,8/4/2021,"5,085.64", Wednesday,4,8,21," 1,470.71", 295.50," 1,221.67"
391,8/5/2021,"5,446.91", Thursday,5,8,21, 610.50, 340.50, 477.50
392,8/6/2021,"8,353.50", Friday,6,8,21, 594.00, 234.75, 446.50
393,8/7/2021,"9,523.43", Saturday,7,8,21," 2,657.25", 571.00," 1,147.00"
394,8/10/2021,"5,867.82", Tuesday,10,8,21," 2,525.75", 695.50," 1,271.75"
395,8/11/2021,"7,608.90", Wednesday,11,8,21," 1,159.54", 258.50," 1,018.25"
396,8/12/2021,"7,703.34", Thursday,12,8,21, 859.50, 434.50, 864.95
397,8/13/2021,"7,955.66", Friday,13,8,21," 1,247.45", 138.00, 855.75
398,8/14/2021,"9,790.04", Saturday,14,8,21," 2,264.50", 256.00," 1,486.50"
399,8/15/2021,0.00, Sunday,15,8,21," 3,000.12", 31.00," 2,270.75"
400,8/17/2021,"4,231.08", Tuesday,17,8,21, 740.77, 185.00, 555.96
401,8/18/2021,"5,005.80", Wednesday,18,8,21," 1,040.75", 219.00, 504.50
402,8/19/2021,"4,418.81", Thursday,19,8,21, 483.25, 158.75, 498.00
403,8/20/2021,"6,974.76", Friday,20,8,21," 1,988.50", 299.50," 1,810.50"
404,8/21/2021,"8,787.43", Saturday,21,8,21," 4,739.50", 100.00," 2,419.17"
405,8/22/2021,"3,689.84", Sunday,22,8,21, 984.30, 257.00, 906.31
406,8/23/2021,0.00, Monday,23,8,21, 515.00, 65.00," 1,051.00"
407,8/24/2021,"6,551.15", Tuesday,24,8,21," 1,383.25", 257.50, 725.00
408,8/25/2021,"2,798.10", Wednesday,25,8,21," 4,344.50", 142.50," 2,687.75"
409,8/26/2021,"3,175.43", Thursday,26,8,21," 8,565.50", 252.00," 4,229.00"
410,8/27/2021,"9,738.38", Friday,27,8,21," 1,106.57", 171.50, 529.92
411,8/28/2021,"10,045.58", Saturday,28,8,21, 429.75, 407.50, 316.50
412,8/31/2021,"5,433.75", Tuesday,31,8,21," 1,518.50", 293.50," 1,093.50"
413,9/1/2021,"4,275.76", Wednesday,1,9,21," 7,501.25", 705.00," 2,865.25"
414,9/2/2021,"5,762.76", Thursday,2,9,21," 7,851.25", 381.00," 5,282.00"
415,9/3/2021,"9,734.92", Friday,3,9,21," 1,178.73", 528.75, 509.89
416,9/4/2021,"12,898.76", Saturday,4,9,21," 1,229.25", 298.50, 995.32
417,9/7/2021,"3,559.06", Tuesday,7,9,21," 1,273.50", 228.00, 795.50
418,9/8/2021,"4,030.55", Wednesday,8,9,21," 1,919.50", 542.25," 1,506.00"
419,9/9/2021,"4,977.40", Thursday,9,9,21,"ivery

 Total

 1,327.50", 630.00," 1,223.50"
420,9/10/2021,"10,381.22", Friday,10,9,21," 1,442.83", 482.50, 391.99
421,9/11/2021,"19,960.96", Saturday,11,9,21, 486.10, 596.50, 476.75
422,9/14/2021,"4,902.16", Tuesday,14,9,21, 377.25, 124.37, 892.00
423,9/15/2021,"3,665.75", Wednesday,15,9,21, 672.00, 632.25, 211.50
424,9/16/2021,"6,437.40", Thursday,16,9,21," 1,155.00", 512.75," 2,103.50"
425,9/17/2021,"19,392.90", Friday,17,9,21," 1,335.02", 314.75, 855.28
426,9/18/2021,"31,994.18", Saturday,18,9,21," 1,667.00", 319.00," 1,205.50"
427,9/21/2021,"4,625.09", Tuesday,21,9,21," 1,221.25", 61.50," 1,040.25"
428,9/22/2021,"3,338.79", Wednesday,22,9,21," 3,737.25", 799.00," 2,998.25"
429,9/23/2021,"8,111.88", Thursday,23,9,21," 6,465.50", 130.00," 13,024.50"
430,9/24/2021,"26,241.48", Friday,24,9,21," 1,537.68", 190.37, 808.52
431,9/25/2021,"37,810.21", Saturday,25,9,21," 1,850.00", 357.50, 318.50
432,9/26/2021,22.01, Sunday,26,9,21," 1,018.00", 323.00, 791.00
433,9/28/2021,"4,787.37", Tuesday,28,9,21," 2,251.25", 664.50," 1,197.00"
434,9/29/2021,"5,090.85", Wednesday,29,9,21," 1,622.50", 934.00," 1,068.75"
435,9/30/2021,"4,119.62", Thursday,30,9,21, 658.32, 546.96, 686.66
436,10/1/2021,"11,843.49", Friday,1,10,21," 1,451.72", 574.50, 672.50
437,10/2/2021,"10,084.79", Saturday,2,10,21," 1,243.00", 392.75," 1,083.00"
438,10/3/2021,0.00, Sunday,3,10,21," 3,870.85"," 1,321.50"," 2,248.25"
439,10/5/2021,"4,694.90", Tuesday,5,10,21," 7,580.50", 222.00," 3,934.00"
440,10/6/2021,"3,655.73", Wednesday,6,10,21," 1,776.20", 406.50," 1,154.92"
441,10/7/2021,"2,379.52", Thursday,7,10,21,"ivery

 Total

 1,190.50", 815.75, 997.42
442,10/8/2021,"4,210.56", Friday,8,10,21," 1,810.50", 258.50," 1,640.00"
443,10/9/2021,"5,915.17", Saturday,9,10,21," 2,243.00", 787.00," 1,262.50"
444,10/11/2021,0.00, Monday,11,10,21," 2,676.00", 988.00," 1,371.75"
445,10/12/2021,"3,804.38", Tuesday,12,10,21," 1,168.70", 304.50," 1,420.26"
446,10/13/2021,"4,954.96", Wednesday,13,10,21," 1,117.25", 480.00," 1,121.66"
447,10/14/2021,"6,651.81", Thursday,14,10,21," 2,829.12", 128.50, 959.50
448,10/15/2021,"16,630.16", Friday,15,10,21," 3,562.25", 394.50," 2,222.00"
449,10/16/2021,"41,154.67", Saturday,16,10,21," 3,237.00"," 1,566.25"," 2,163.00"
450,10/17/2021,148.54, Sunday,17,10,21," 3,032.80", 0.00,
451,10/18/2021,0.00, Monday,18,10,21," 1,791.95", 377.50, 799.00
452,10/19/2021,"5,476.46", Tuesday,19,10,21," 1,881.00", 249.00," 1,683.75"
453,10/20/2021,"4,856.44", Wednesday,20,10,21,"ivery

 Total

 5,006.25", 816.50," 3,897.50"
454,10/21/2021,"5,793.98", Thursday,21,10,21," 5,015.50", 80.50," 3,647.75"
455,10/22/2021,"8,844.02", Friday,22,10,21," 1,190.56", 523.49, 804.72
456,10/23/2021,"9,140.53", Saturday,23,10,21, 941.50, 460.75, 560.50
457,10/26/2021,"3,665.58", Tuesday,26,10,21," 1,374.50", 199.50, 419.00
458,10/27/2021,"3,621.26", Wednesday,27,10,21," 1,284.75", 333.50, 371.50
459,10/28/2021,"4,036.04", Thursday,28,10,21," 1,211.40", 426.99," 1,185.81"
460,10/29/2021,"15,039.83", Friday,29,10,21," 1,000.00", 571.00, 770.25
461,10/30/2021,"32,708.08", Saturday,30,10,21," 1,121.00", 401.50, 440.50
462,11/2/2021,"4,414.03", Tuesday,2,11,21," 1,998.25", 808.25," 1,336.34"
463,11/3/2021,"3,812.99", Wednesday,3,11,21," 2,920.50", 887.50," 2,415.00"
464,11/4/2021,"6,569.42", Thursday,4,11,21," 1,610.18", 433.50," 1,363.87"
465,11/5/2021,"7,723.44", Friday,5,11,21, 830.25, 549.50, 844.50
466,11/6/2021,"9,389.35", Saturday,6,11,21," 1,782.22", 273.00," 1,233.00"
467,11/8/2021,0.00, Monday,8,11,21," 2,374.00"," 1,100.50"," 1,863.21"
468,11/9/2021,"5,843.68", Tuesday,9,11,21," 3,854.54"," 1,040.25"," 2,007.00"
469,11/10/2021,"3,573.48", Wednesday,10,11,21," 1,045.74", 576.25, 628.43
470,11/11/2021,"7,921.50", Thursday,11,11,21," 1,548.00", 487.00, 789.72
471,11/12/2021,"9,766.62", Friday,12,11,21," 1,925.74", 370.25," 1,314.50"
472,11/13/2021,"13,909.25", Saturday,13,11,21," 3,794.17", 707.25," 2,715.50"
473,11/16/2021,"4,190.86", Tuesday,16,11,21," 3,214.00", 554.87," 2,821.42"
474,11/17/2021,"4,025.45", Wednesday,17,11,21," 1,317.15", 305.50, 682.89
475,11/18/2021,"6,474.37", Thursday,18,11,21, 572.50, 588.25, 582.50
476,11/19/2021,"14,975.19", Friday,19,11,21, 671.00, 279.00, 165.50
477,11/20/2021,"25,922.90", Saturday,20,11,21, 919.75, 209.25, 854.50
478,11/23/2021,"3,291.78", Tuesday,23,11,21," 2,126.50", 658.00," 1,453.00"
479,11/24/2021,"2,588.15", Wednesday,24,11,21, 661.92, 388.42, 331.41
480,11/26/2021,"3,482.20", Friday,26,11,21, 903.57, 302.00, 174.75
481,11/27/2021,"3,112.49", Saturday,27,11,21, 390.00, 268.50, 213.75
482,11/28/2021,0.00, Sunday,28,11,21," 1,104.75", 573.25, 382.75
483,11/30/2021,"6,360.51", Tuesday,30,11,21," 1,364.50", 903.25, 981.00
484,12/1/2021,"4,347.74", Wednesday,1,12,21," 1,048.91", 160.62, 802.91
485,12/2/2021,"4,207.75", Thursday,2,12,21, 995.25, 244.50, 316.00
486,12/3/2021,"10,731.87", Friday,3,12,21, 726.50, 238.50, 630.50
487,12/4/2021,"10,279.21", Saturday,4,12,21," 2,318.00", 736.75," 1,097.00"
488,12/7/2021,"4,541.20", Tuesday,7,12,21," 2,799.00", 737.50," 1,388.50"
489,12/8/2021,"2,893.22", Wednesday,8,12,21," 1,664.19", 209.99," 1,357.70"
490,12/9/2021,"6,420.16", Thursday,9,12,21, 785.00, 438.50, 494.23
491,12/10/2021,"8,249.29", Friday,10,12,21," 1,081.48", 195.00," 1,168.00"
492,12/11/2021,"9,701.30", Saturday,11,12,21," 3,662.70", 744.50," 2,207.00"
493,12/13/2021,0.00, Monday,13,12,21," 3,843.75", 614.50," 3,182.25"
494,12/14/2021,"4,335.84", Tuesday,14,12,21," 1,757.41", 383.50," 1,220.84"
495,12/15/2021,"4,045.86", Wednesday,15,12,21," 1,883.50", 285.00, 963.50
496,12/16/2021,"5,642.08", Thursday,16,12,21,"ivery

 Total

 874.00", 248.00, 868.50
497,12/17/2021,"10,768.32", Friday,17,12,21," 3,055.00", 768.50," 1,927.00"
498,12/18/2021,"9,358.26", Saturday,18,12,21," 3,154.25", 604.25," 1,637.50"
499,12/21/2021,"3,270.09", Tuesday,21,12,21, 973.22, 181.50," 1,074.55"
500,12/22/2021,"2,166.52", Wednesday,22,12,21," 2,494.00", 964.00," 1,851.00"
501,12/23/2021,"1,926.69", Thursday,23,12,21," 3,335.68", 570.00," 2,841.75"
502,12/28/2021,0.00, Tuesday,28,12,21," 1,178.05", 523.75," 1,104.84"
503,12/29/2021,0.00, Wednesday,29,12,21," 1,294.00", 420.50, 932.24
504,12/30/2021,"2,536.09", Thursday,30,12,21," 1,380.68", 254.25, 464.00
505,12/31/2021,"5,548.73", Friday,31,12,21," 3,145.25", 936.00," 1,789.50"
506,1/4/2022,"1,762.60", Tuesday,4,1,22," 2,568.16", 776.25," 1,596.25"
507,1/5/2022,"1,712.32", Wednesday,5,1,22," 1,440.30", 300.50," 1,257.53"
508,1/6/2022,"1,530.45", Thursday,6,1,22," 1,823.25", 459.75," 1,866.25"
509,1/7/2022,"2,651.07", Friday,7,1,22," 1,702.50", 212.50," 1,533.50"
510,1/8/2022,"4,616.56", Saturday,8,1,22," 3,232.80", 932.75," 1,533.75"
511,1/10/2022,0.00, Monday,10,1,22," 3,486.50", 742.00," 2,202.50"
512,1/11/2022,"2,730.75", Tuesday,11,1,22," 2,198.16", 230.50," 1,091.54"
513,1/12/2022,"1,962.74", Wednesday,12,1,22, 904.99, 878.50, 715.35
514,1/13/2022,"2,344.81", Thursday,13,1,22," 1,242.50", 216.00," 1,134.00"
515,1/14/2022,"6,443.32", Friday,14,1,22," 3,443.00", 583.75," 2,194.50"
516,1/15/2022,"6,493.34", Saturday,15,1,22," 3,792.56", 760.25," 2,940.75"
517,1/18/2022,"6,465.79", Tuesday,18,1,22," 1,352.23", 448.00," 1,004.28"
518,1/19/2022,"2,179.33", Wednesday,19,1,22, 854.40, 251.25, 840.00
519,1/20/2022,"3,592.47", Thursday,20,1,22," 1,647.50", 174.75," 1,196.50"
520,1/21/2022,"10,538.28", Friday,21,1,22," 3,220.00", 640.25," 2,280.75"
521,1/22/2022,"11,091.57", Saturday,22,1,22," 2,737.00", 580.00," 1,149.50"
522,1/24/2022,0.00, Monday,24,1,22," 1,397.22", 497.00," 1,347.37"
523,1/25/2022,"4,646.74", Tuesday,25,1,22," 1,131.25", 630.50, 875.50
524,1/26/2022,"4,313.84", Wednesday,26,1,22," 1,688.84", 213.50, 944.25
525,1/27/2022,"3,016.34", Thursday,27,1,22," 1,743.05", 686.75," 1,047.50"
526,1/28/2022,"9,074.26", Friday,28,1,22," 2,219.35", 258.75, 980.25
527,1/29/2022,"11,439.11", Saturday,29,1,22, 975.91, 220.75, 590.95
528,2/1/2022,"3,173.65", Tuesday,1,2,22, 614.00, 202.00, 477.50
529,2/4/2022,"7,760.89", Friday,4,2,22, 867.15, 210.00, 403.50
530,2/5/2022,"9,990.40", Saturday,5,2,22," 1,269.00", 443.75, 314.00
531,2/8/2022,"5,439.74", Tuesday,8,2,22," 1,461.00", 736.00, 853.75
532,2/9/2022,"4,048.65", Wednesday,9,2,22," 1,435.56", 386.50, 814.34
533,2/10/2022,"3,344.60", Thursday,10,2,22," 1,196.75", 313.00, 615.50
534,2/11/2022,"10,383.20", Friday,11,2,22," 1,029.00", 272.50," 1,121.50"
535,2/12/2022,"6,834.66", Saturday,12,2,22," 3,255.50"," 1,158.00"," 1,491.99"
536,2/15/2022,"4,050.51", Tuesday,15,2,22," 2,792.50", 755.75," 2,085.75"
537,2/16/2022,"5,593.41", Wednesday,16,2,22," 1,559.61", 279.00," 1,139.58"
538,2/17/2022,"5,540.60", Thursday,17,2,22," 1,341.50", 401.00, 514.75
539,2/18/2022,"7,797.21", Friday,18,2,22," 1,821.50", 150.50," 1,722.75"
540,2/19/2022,"9,613.15", Saturday,19,2,22," 3,548.00", 572.75," 1,836.50"
541,2/20/2022,0.00, Sunday,20,2,22," 2,365.25", 381.00," 1,227.50"
542,2/22/2022,"4,805.13", Tuesday,22,2,22," 1,992.68", 322.50," 1,109.87"
543,2/23/2022,"3,144.67", Wednesday,23,2,22," 1,009.50", 423.75, 867.96
544,2/24/2022,"3,727.98", Thursday,24,2,22," 2,740.80", 63.00," 1,627.43"
545,2/25/2022,"9,603.54", Friday,25,2,22," 4,656.25"," 1,153.25"," 4,398.76"
546,2/26/2022,"11,140.35", Saturday,26,2,22," 5,180.50"," 1,122.50"," 4,582.25"
547,2/27/2022,-4.90, Sunday,27,2,22," 1,666.64", 290.49, 894.89
548,3/1/2022,"5,713.42", Tuesday,1,3,22," 1,306.60", 268.25," 1,124.50"
549,3/2/2022,"4,817.68", Wednesday,2,3,22," 1,960.37", 115.00," 1,041.50"
550,3/3/2022,"7,468.29", Thursday,3,3,22," 2,023.25", 698.75, 633.50
551,3/4/2022,"13,126.31", Friday,4,3,22," 2,002.35", 345.50," 1,206.00"
552,3/5/2022,"10,636.17", Saturday,5,3,22," 1,661.21", 411.25," 1,902.80"
553,3/7/2022,0.00, Monday,7,3,22, 707.50, 331.75, 598.84
554,3/8/2022,"4,380.75", Tuesday,8,3,22," 1,079.00", 317.00," 1,551.00"
555,3/9/2022,"3,694.15", Wednesday,9,3,22," 2,304.90", 293.25," 1,143.75"
556,3/10/2022,"4,595.96", Thursday,10,3,22," 5,553.75", 365.25," 5,646.75"
557,3/11/2022,"4,872.90", Friday,11,3,22,-24.00,-289.50,-48.00
558,3/12/2022,"9,462.31", Saturday,12,3,22," 1,132.76", 384.50," 1,180.03"
559,3/15/2022,"3,879.94", Tuesday,15,3,22, 986.50, 369.75, 626.50
560,3/16/2022,"3,235.03", Wednesday,16,3,22, 643.00, 261.62, 77.75
561,3/17/2022,"2,563.68", Thursday,17,3,22," 3,121.25"," 1,373.25"," 1,122.00"
562,3/18/2022,"2,918.47", Friday,18,3,22," 2,386.25", 842.00," 2,224.25"
563,3/19/2022,"6,597.13", Saturday,19,3,22," 1,511.11", 547.50, 897.41
564,3/22/2022,"3,477.47", Tuesday,22,3,22," 1,009.04", 635.50," 1,035.50"
565,3/23/2022,"3,010.27", Wednesday,23,3,22," 1,204.00", 308.00," 1,178.00"
566,3/24/2022,"5,600.25", Thursday,24,3,22," 2,734.25", 427.25," 2,282.75"
567,3/25/2022,"11,937.91", Friday,25,3,22," 3,425.50"," 1,331.25"," 1,767.75"
568,3/26/2022,"15,865.52", Saturday,26,3,22," 2,185.20", 426.75, 917.58
569,3/27/2022,0.00, Sunday,27,3,22," 1,974.25", 171.50," 1,089.50"
570,3/28/2022,0.00, Monday,28,3,22," 2,074.75", 286.00," 1,228.75"
571,3/29/2022,"4,115.20", Tuesday,29,3,22," 5,062.00", 576.50," 4,120.50"
572,3/30/2022,"2,957.87", Wednesday,30,3,22," 4,091.75", 914.25," 3,919.25"
573,3/31/2022,"6,565.60", Thursday,31,3,22, 995.06, 147.00, 564.13
574,4/1/2022,"11,408.02", Friday,1,4,22, 558.50, 340.25, 573.25
575,4/2/2022,"11,683.36", Saturday,2,4,22," 1,006.75", 99.00, 593.50
576,4/5/2022,"7,023.48", Tuesday,5,4,22," 1,247.75", 303.62, 312.00
577,4/6/2022,"3,214.73", Wednesday,6,4,22," 1,889.00", 516.80," 1,179.50"
578,4/7/2022,"6,679.30", Thursday,7,4,22," 1,483.57", 195.75, 993.66
579,4/8/2022,"20,269.74", Friday,8,4,22," 1,036.00", 560.50, 799.00
580,4/9/2022,"29,360.00", Saturday,9,4,22, 627.50, 262.70, 199.00
581,4/12/2022,"3,983.50", Tuesday,12,4,22, 894.25, 800.75, 844.54
582,4/13/2022,"4,137.31", Wednesday,13,4,22, 697.50, 574.50, 550.00
583,4/14/2022,"7,330.84", Thursday,14,4,22, 736.61, 477.00, 871.83
584,4/15/2022,"8,992.67", Friday,15,4,22, 951.50, 490.25," 1,543.00"
585,4/16/2022,"14,470.54", Saturday,16,4,22, 669.25, 237.50, 235.00
586,4/19/2022,"5,384.54", Tuesday,19,4,22, 769.25, 447.50, 389.00
587,4/20/2022,"5,204.03", Wednesday,20,4,22," 1,725.65", 394.75, 701.10
588,4/21/2022,"6,669.42", Thursday,21,4,22, 618.39, 367.00, 579.38
589,4/22/2022,"6,836.86", Friday,22,4,22, 843.00, 294.00, 404.50
590,4/23/2022,"15,397.78", Saturday,23,4,22, 641.30, 277.75, 244.00
591,4/24/2022,"4,930.94", Sunday,24,4,22," 1,717.25", 587.25, 791.00
592,4/26/2022,"5,469.43", Tuesday,26,4,22," 1,268.00", 662.25," 1,710.00"
593,4/27/2022,"3,180.45", Wednesday,27,4,22, 744.19, 299.25, 739.49
594,4/28/2022,"3,694.39", Thursday,28,4,22, 409.00, 443.75, 76.00
595,4/29/2022,"12,785.71", Friday,29,4,22," 1,243.50", 192.00, 260.50
596,4/30/2022,"11,930.36", Saturday,30,4,22," 1,761.50", 497.75," 1,639.25"
597,5/3/2022,"6,285.65", Tuesday,3,5,22,"ivery

 Total

 1,794.00", 603.50, 59.75
598,5/4/2022,"3,421.38", Wednesday,4,5,22, 837.07, 254.75, 198.23
599,5/5/2022,"7,853.66", Thursday,5,5,22, 559.00, 373.50, 398.25
600,5/6/2022,"12,778.45", Friday,6,5,22, 634.25, 234.75, 501.75
601,5/7/2022,"13,794.69", Saturday,7,5,22,"ivery

 Total

 1,071.00", 582.25, 525.40
602,5/10/2022,"6,494.40", Tuesday,10,5,22," 1,676.50", 716.75," 1,108.75"
603,5/11/2022,"6,969.76", Wednesday,11,5,22, 875.14, 214.75, 478.48
604,5/12/2022,"8,314.82", Thursday,12,5,22, 466.50, 282.00, 76.00
605,5/13/2022,"20,731.50", Friday,13,5,22, 449.37, 145.25, 368.00
606,5/14/2022,"25,468.27", Saturday,14,5,22, 808.50, 541.25, 600.50
607,5/17/2022,"4,326.21", Tuesday,17,5,22,"ivery

 Total

 838.77", 237.75, 869.00
608,5/18/2022,"3,932.87", Wednesday,18,5,22, 568.18, 247.00, 455.11
609,5/19/2022,"3,280.21", Thursday,19,5,22, 677.50, 347.50, 470.50
610,5/20/2022,"5,540.61", Friday,20,5,22, 812.50, 211.75, 433.50
611,5/21/2022,"4,995.62", Saturday,21,5,22," 2,101.50", 794.25, 694.50
612,5/24/2022,"3,807.05", Tuesday,24,5,22," 1,501.50", 670.87, 495.50
613,5/25/2022,"3,277.19", Wednesday,25,5,22," 1,088.81", 180.00, 413.91
614,5/26/2022,"3,264.50", Thursday,26,5,22, 305.75, 332.50, 130.50
615,5/27/2022,"7,047.56", Friday,27,5,22, 856.00, 42.00, 608.50
616,5/28/2022,"4,639.28", Saturday,28,5,22," 1,610.75", 668.25, 805.25
617,5/31/2022,"3,990.45", Tuesday,31,5,22," 1,735.00", 550.25, 284.00
618,6/1/2022,"4,204.91", Wednesday,1,6,22, 870.32, 395.11, 623.94
