,Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezz Sales
74,7/18/2020,"8,181.15", Saturday,18,7,20, 302.25, 462.00, 190.00
75,7/19/2020,"3,397.79", Sunday,19,7,20, 440.00, 581.50, 710.50
76,7/20/2020,"2,233.12", Monday,20,7,20, 202.00, 260.50, 292.50
77,7/21/2020,"4,666.97", Tuesday,21,7,20, 602.01, 486.00, 343.50
78,7/22/2020,"1,933.12", Wednesday,22,7,20, 578.50," 1,259.00", 706.50
79,7/23/2020,"3,647.50", Thursday,23,7,20, 748.50, 634.75, 558.50
80,7/24/2020,"5,850.16", Friday,24,7,20, 412.50," 1,145.00", 310.00
81,7/25/2020,"6,220.40", Saturday,25,7,20, 381.75, 105.00, 143.50
82,7/26/2020,"4,091.62", Sunday,26,7,20, 893.25, 459.75, 563.25
83,7/27/2020,860.58, Monday,27,7,20, 309.00, 146.00, 340.50
84,7/28/2020,"4,564.39", Tuesday,28,7,20, 810.62, 438.50, 590.50
85,7/29/2020,"2,663.54", Wednesday,29,7,20," 1,230.00"," 1,275.00", 939.75
86,7/30/2020,"3,853.83", Thursday,30,7,20," 1,252.50"," 1,160.50", 957.00
87,7/31/2020,"7,903.01", Friday,31,7,20, 477.00, 842.50, 833.50
88,8/1/2020,"9,025.21", Saturday,1,8,20, 338.50, 439.50, 0.00
89,8/2/2020,"4,781.65", Sunday,2,8,20, 918.00, 345.00, 632.50
90,8/3/2020,"3,068.30", Monday,3,8,20, 518.50, 370.00, 236.00
91,8/4/2020,"5,018.43", Tuesday,4,8,20, 353.50, 579.50, 808.50
92,8/5/2020,"3,264.58", Wednesday,5,8,20," 1,584.00"," 1,174.50"," 1,750.52"
93,8/6/2020,"3,927.68", Thursday,6,8,20," 1,915.00", 850.50," 1,812.50"
94,8/7/2020,"9,234.12", Friday,7,8,20," 1,167.25", 919.50, 583.50
95,8/8/2020,"10,971.88", Saturday,8,8,20, 257.00, 293.50, 531.50
96,8/9/2020,"5,441.39", Sunday,9,8,20," 1,527.75", 195.50, 863.00
97,8/10/2020,"3,219.22", Monday,10,8,20," 1,060.75", 533.00, 852.00
98,8/11/2020,"5,583.91", Tuesday,11,8,20," 1,617.50", 588.50," 1,526.50"
99,8/12/2020,"4,950.28", Wednesday,12,8,20," 1,838.00", 939.00," 1,211.60"
100,8/13/2020,"7,497.01", Thursday,13,8,20," 2,343.50"," 1,261.75"," 1,290.00"
101,8/14/2020,"8,325.70", Friday,14,8,20," 1,130.00", 867.25, 436.65
102,8/15/2020,"9,683.65", Saturday,15,8,20, 641.00, 535.00, 266.50
103,8/16/2020,"4,627.37", Sunday,16,8,20," 1,357.00", 691.00, 819.50
104,8/17/2020,"3,008.76", Monday,17,8,20, 366.50, 579.75, 79.00
105,8/18/2020,"6,211.46", Tuesday,18,8,20, 795.75, 538.00, 871.50
106,8/19/2020,"2,510.81", Wednesday,19,8,20," 1,449.35"," 1,064.50"," 1,005.50"
107,8/20/2020,"4,760.10", Thursday,20,8,20," 1,603.25"," 1,019.75", 996.00
108,8/21/2020,"7,932.08", Friday,21,8,20, 696.25," 1,107.50", 582.50
109,8/22/2020,"7,470.09", Saturday,22,8,20, 647.00, 401.25, 686.00
110,8/23/2020,"5,138.83", Sunday,23,8,20, 891.00, 414.50, 677.00
111,8/24/2020,"3,494.47", Monday,24,8,20, 645.25, 328.50, 673.25
112,8/25/2020,"4,493.43", Tuesday,25,8,20, 566.50, 481.50, 874.50
113,8/26/2020,"3,260.96", Wednesday,26,8,20," 1,810.00"," 1,215.50"," 1,626.35"
114,8/27/2020,"3,930.81", Thursday,27,8,20," 1,949.50"," 1,583.00"," 1,983.50"
115,8/28/2020,"8,972.05", Friday,28,8,20, 593.50, 684.40, 425.50
116,8/29/2020,"10,596.21", Saturday,29,8,20, 667.75, 53.00, 395.00
117,8/30/2020,"3,374.10", Sunday,30,8,20, 684.25, 526.00," 1,269.50"
118,8/31/2020,"1,473.83", Monday,31,8,20, 262.50, 636.50, 427.50
119,9/1/2020,"4,308.56", Tuesday,1,9,20, 800.32, 499.50, 539.25
120,9/2/2020,"3,260.12", Wednesday,2,9,20," 1,218.25"," 1,618.00", 919.50
121,9/3/2020,"3,922.00", Thursday,3,9,20," 1,033.00"," 1,298.50"," 1,019.25"
122,9/4/2020,"7,281.50", Friday,4,9,20, 869.00, 730.00, 611.50
123,9/5/2020,"8,003.06", Saturday,5,9,20, 286.00, 717.50, 199.62
124,9/6/2020,"4,811.89", Sunday,6,9,20, 944.50, 356.00, 912.50
125,9/7/2020,"3,310.56", Monday,7,9,20, 424.50, 510.25, 475.50
126,9/8/2020,"3,820.82", Tuesday,8,9,20, 925.00, 463.50, 983.00
127,9/9/2020,"1,805.66", Wednesday,9,9,20," 1,752.00", 855.00," 1,467.50"
128,9/10/2020,"5,275.46", Thursday,10,9,20," 3,914.00", 0.00," 2,066.75"
129,9/11/2020,"9,699.81", Friday,11,9,20, 459.00, 562.25, 199.50
130,9/12/2020,"15,595.87", Saturday,12,9,20, 120.50, 353.25, 127.25
131,9/13/2020,"3,320.57", Sunday,13,9,20," 1,150.00", 365.00, 815.50
132,9/14/2020,"1,937.83", Monday,14,9,20, 608.37, 570.50, 584.50
133,9/15/2020,"5,119.91", Tuesday,15,9,20, 836.25, 596.00, 780.50
134,9/16/2020,"3,919.66", Wednesday,16,9,20," 1,700.00"," 1,051.50"," 1,198.62"
135,9/17/2020,"4,926.66", Thursday,17,9,20," 1,753.25"," 1,270.00"," 1,746.00"
136,9/18/2020,"9,635.36", Friday,18,9,20, 278.75, 894.25, 180.00
137,9/19/2020,"13,377.69", Saturday,19,9,20, 142.00, 525.50, 165.25
138,9/20/2020,"3,843.93", Sunday,20,9,20, 924.49, 520.50, 822.50
139,9/21/2020,"2,232.71", Monday,21,9,20, 203.75, 503.00, 283.62
140,9/22/2020,"4,362.19", Tuesday,22,9,20," 1,375.25", 500.00, 743.00
141,9/23/2020,"2,674.18", Wednesday,23,9,20," 4,005.25", 993.00," 1,955.01"
142,9/24/2020,"8,506.59", Thursday,24,9,20," 3,952.90", 130.00," 3,179.50"
143,9/25/2020,"16,319.03", Friday,25,9,20, 791.00, 989.75, 919.00
144,9/26/2020,"18,481.23", Saturday,26,9,20, 251.50, 485.50, 94.00
145,9/27/2020,"4,191.46", Sunday,27,9,20," 1,004.50", 578.50, 652.50
146,9/28/2020,"1,743.50", Monday,28,9,20, 275.50, 339.00, 520.60
147,9/29/2020,"4,687.28", Tuesday,29,9,20," 1,445.50", 632.00, 951.50
148,9/30/2020,"3,267.06", Wednesday,30,9,20," 2,993.50", 991.50," 2,639.75"
149,10/1/2020,"6,439.47", Thursday,1,10,20," 4,082.50", 943.50," 2,731.00"
150,10/2/2020,"14,053.29", Friday,2,10,20, 982.00, 597.50, 671.50
151,10/3/2020,"20,591.80", Saturday,3,10,20, 503.50, 204.50, 574.75
152,10/4/2020,"5,489.20", Sunday,4,10,20, 786.50, 241.00, 809.00
153,10/5/2020,"2,361.25", Monday,5,10,20, 387.12, 154.50, 779.50
154,10/6/2020,"4,315.43", Tuesday,6,10,20, 267.00, 383.00, 397.50
155,10/7/2020,"2,722.74", Wednesday,7,10,20," 1,207.50", 893.50, 625.50
156,10/8/2020,"3,307.49", Thursday,8,10,20, 814.25, 410.00," 1,027.50"
157,10/9/2020,"6,461.58", Friday,9,10,20, 303.50, 800.50, 313.50
158,10/10/2020,"5,718.13", Saturday,10,10,20, 623.62, 431.75, 438.00
159,10/11/2020,"3,516.86", Sunday,11,10,20, 901.77, 281.50, 635.36
160,10/12/2020,"3,511.97", Monday,12,10,20, 137.50, 417.75, 527.25
161,10/13/2020,"4,745.29", Tuesday,13,10,20, 431.50, 651.25," 1,099.25"
162,10/14/2020,"2,523.50", Wednesday,14,10,20," 1,528.50"," 1,636.22"," 1,185.05"
163,10/15/2020,"4,510.31", Thursday,15,10,20," 2,359.25", 890.00," 2,130.25"
164,10/16/2020,"9,805.13", Friday,16,10,20, 726.00," 1,068.50", 850.00
165,10/17/2020,"11,971.25", Saturday,17,10,20, 397.50, 385.50, 674.50
166,10/18/2020,"3,440.48", Sunday,18,10,20," 1,079.94", 832.50, 838.85
167,10/19/2020,"2,717.83", Monday,19,10,20, 208.50, 446.00, 387.00
168,10/20/2020,"5,452.58", Tuesday,20,10,20," 1,094.25", 788.75," 1,022.00"
169,10/21/2020,"2,803.28", Wednesday,21,10,20," 1,990.75", 826.50," 1,464.50"
170,10/22/2020,"5,719.32", Thursday,22,10,20," 1,470.00", 998.00," 1,398.25"
171,10/23/2020,"5,584.53", Friday,23,10,20, 606.00, 925.50, 763.50
172,10/24/2020,"7,458.47", Saturday,24,10,20, 319.25, 469.50, 414.25
173,10/25/2020,"2,893.97", Sunday,25,10,20, 640.75, 603.00, 657.50
