Date,Revenue,Day of Week,Day of Month,Month,Year,One_Day_Prior_Revenue,Two_Days_Prior_Revenue,Three_Days_Prior_Revenue,Four_Days_Prior_Revenue,Five_Days_Prior_Revenue,Six_Days_Prior_Revenue,Seven_Days_Prior_Revenue,Seven_Days_Prior_Summed_Revenue
6/17/2020,3294.83,Wednesday,17,6,2020,4288.23,2296.61,3961.35,7532.64,7543.05,5234.93,3795.49,34652.3
6/18/2020,3863.27,Thursday,18,6,2020,3294.83,4288.23,2296.61,3961.35,7532.64,7543.05,5234.93,34151.64
6/19/2020,3884.38,Friday,19,6,2020,3863.27,3294.83,4288.23,2296.61,3961.35,7532.64,7543.05,32779.98
6/20/2020,4535.61,Saturday,20,6,2020,3884.38,3863.27,3294.83,4288.23,2296.61,3961.35,7532.64,29121.31
6/21/2020,3131.28,Sunday,21,6,2020,4535.61,3884.38,3863.27,3294.83,4288.23,2296.61,3961.35,26124.28
6/22/2020,2306.86,Monday,22,6,2020,3131.28,4535.61,3884.38,3863.27,3294.83,4288.23,2296.61,25294.21
6/23/2020,4555.84,Tuesday,23,6,2020,2306.86,3131.28,4535.61,3884.38,3863.27,3294.83,4288.23,25304.46
6/24/2020,3212.97,Wednesday,24,6,2020,4555.84,2306.86,3131.28,4535.61,3884.38,3863.27,3294.83,25572.07
6/25/2020,4045.28,Thursday,25,6,2020,3212.97,4555.84,2306.86,3131.28,4535.61,3884.38,3863.27,25490.21
6/26/2020,7491.25,Friday,26,6,2020,4045.28,3212.97,4555.84,2306.86,3131.28,4535.61,3884.38,25672.22
6/27/2020,8106.95,Saturday,27,6,2020,7491.25,4045.28,3212.97,4555.84,2306.86,3131.28,4535.61,29279.09
6/28/2020,3881.7,Sunday,28,6,2020,8106.95,7491.25,4045.28,3212.97,4555.84,2306.86,3131.28,32850.43
6/29/2020,2671.31,Monday,29,6,2020,3881.7,8106.95,7491.25,4045.28,3212.97,4555.84,2306.86,33600.85
6/30/2020,4045.59,Tuesday,30,6,2020,2671.31,3881.7,8106.95,7491.25,4045.28,3212.97,4555.84,33965.3
7/1/2020,2402.55,Wednesday,1,7,2020,4045.59,2671.31,3881.7,8106.95,7491.25,4045.28,3212.97,33455.05
7/2/2020,5667.96,Thursday,2,7,2020,2402.55,4045.59,2671.31,3881.7,8106.95,7491.25,4045.28,32644.63
7/3/2020,4448.64,Friday,3,7,2020,5667.96,2402.55,4045.59,2671.31,3881.7,8106.95,7491.25,34267.31
7/4/2020,3510.51,Saturday,4,7,2020,4448.64,5667.96,2402.55,4045.59,2671.31,3881.7,8106.95,31224.7
7/5/2020,2722.38,Sunday,5,7,2020,3510.51,4448.64,5667.96,2402.55,4045.59,2671.31,3881.7,26628.26
7/6/2020,1767.24,Monday,6,7,2020,2722.38,3510.51,4448.64,5667.96,2402.55,4045.59,2671.31,25468.94
7/7/2020,4059.6,Tuesday,7,7,2020,1767.24,2722.38,3510.51,4448.64,5667.96,2402.55,4045.59,24564.87
7/8/2020,2332.67,Wednesday,8,7,2020,4059.6,1767.24,2722.38,3510.51,4448.64,5667.96,2402.55,24578.88
7/9/2020,3345.14,Thursday,9,7,2020,2332.67,4059.6,1767.24,2722.38,3510.51,4448.64,5667.96,24509
7/10/2020,6781.47,Friday,10,7,2020,3345.14,2332.67,4059.6,1767.24,2722.38,3510.51,4448.64,22186.18
7/11/2020,4976.88,Saturday,11,7,2020,6781.47,3345.14,2332.67,4059.6,1767.24,2722.38,3510.51,24519.01
