Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezzanine Sales,Roof Sales,Banquet Sales,One_Day_Prior_Revenue,Two_Days_Prior_Revenue,Three_Days_Prior_Revenue,Four_Days_Prior_Revenue,Five_Days_Prior_Revenue,Six_Days_Prior_Revenue,Seven_Days_Prior_Revenue,Seven_Days_Prior_Summed_Revenue
12/14/2022,4034.95,Wednesday,14,12,2022,"1,639.65",931.5,629,0,0,4457.7,0,7401.16,11378.89,5313.34,2633.03,4347.08,35531.2
12/15/2022,6650.45,Thursday,15,12,2022,"2,777.50",813.5,"1,586.00",0,20,4034.95,4457.7,0,7401.16,11378.89,5313.34,2633.03,35219.07
12/16/2022,12216.92,Friday,16,12,2022,"2,677.00",873.5,"2,714.00",167,"2,512.50",6650.45,4034.95,4457.7,0,7401.16,11378.89,5313.34,39236.49
12/17/2022,14786.88,Saturday,17,12,2022,"3,253.24",997,"3,905.25",0,"2,408.75",12216.92,6650.45,4034.95,4457.7,0,7401.16,11378.89,46140.07
12/19/2022,0,Monday,19,12,2022,0,0,0,0,0,14786.88,12216.92,6650.45,4034.95,4457.7,0,7401.16,49548.06
12/20/2022,2326.08,Tuesday,20,12,2022,"1,006.28",243.75,583.64,0,0,0,14786.88,12216.92,6650.45,4034.95,4457.7,0,42146.9
12/21/2022,1469.58,Wednesday,21,12,2022,524.7,359,333,0,0,2326.08,0,14786.88,12216.92,6650.45,4034.95,4457.7,44472.98
12/22/2022,1255.99,Thursday,22,12,2022,403,449.75,146,0,0,1469.58,2326.08,0,14786.88,12216.92,6650.45,4034.95,41484.86
12/23/2022,2474.66,Friday,23,12,2022,808,848,316.25,0,0,1255.99,1469.58,2326.08,0,14786.88,12216.92,6650.45,38705.9
12/27/2022,2255.05,Tuesday,27,12,2022,880.57,363.25,577.74,0,0,2474.66,1255.99,1469.58,2326.08,0,14786.88,12216.92,34530.11
12/28/2022,1621.48,Wednesday,28,12,2022,619.5,605,58,0,0,2255.05,2474.66,1255.99,1469.58,2326.08,0,14786.88,24568.24
12/29/2022,1355.14,Thursday,29,12,2022,501.25,295,281.5,0,17.5,1621.48,2255.05,2474.66,1255.99,1469.58,2326.08,0,11402.84
12/30/2022,5115.48,Friday,30,12,2022,"2,324.25",420.75,"1,171.14",0,0,1355.14,1621.48,2255.05,2474.66,1255.99,1469.58,2326.08,12757.98
12/31/2022,7240.3,Saturday,31,12,2022,"2,022.37",900.75,"1,901.25",0,824.25,5115.48,1355.14,1621.48,2255.05,2474.66,1255.99,1469.58,15547.38
1/3/2023,2076.34,Tuesday,3,1,2023,940.9,532.5,153.22,0,0,7240.3,5115.48,1355.14,1621.48,2255.05,2474.66,1255.99,21318.1
1/4/2023,1428.59,Wednesday,4,1,2023,666.5,168.75,292.1,0,0,2076.34,7240.3,5115.48,1355.14,1621.48,2255.05,2474.66,22138.45
1/5/2023,1457.41,Thursday,5,1,2023,891.5,209.25,32,0,0,1428.59,2076.34,7240.3,5115.48,1355.14,1621.48,2255.05,21092.38
1/6/2023,3575.1,Friday,6,1,2023,"1,861.39",787.75,223.5,0,0,1457.41,1428.59,2076.34,7240.3,5115.48,1355.14,1621.48,20294.74
1/7/2023,5973.09,Saturday,7,1,2023,"1,874.25","1,241.25",757.75,0,783,3575.1,1457.41,1428.59,2076.34,7240.3,5115.48,1355.14,22248.36
1/9/2023,0,Monday,9,1,2023,0,0,0,0,0,5973.09,3575.1,1457.41,1428.59,2076.34,7240.3,5115.48,26866.31
1/10/2023,2832.82,Tuesday,10,1,2023,805.59,398.49,543.95,429.94,0,0,5973.09,3575.1,1457.41,1428.59,2076.34,7240.3,21750.83
1/11/2023,2296.4,Wednesday,11,1,2023,697.25,236.5,694,143.75,0,2832.82,0,5973.09,3575.1,1457.41,1428.59,2076.34,17343.35
1/12/2023,2477.86,Thursday,12,1,2023,"1,370.50",308.75,244.5,0,0,2296.4,2832.82,0,5973.09,3575.1,1457.41,1428.59,17563.41
1/13/2023,7374.3,Friday,13,1,2023,"2,963.09","1,226.25",960.75,0,589.75,2477.86,2296.4,2832.82,0,5973.09,3575.1,1457.41,18612.68
1/14/2023,8409.61,Saturday,14,1,2023,"3,449.25",761,"2,122.50",0,0,7374.3,2477.86,2296.4,2832.82,0,5973.09,3575.1,24529.57
1/15/2023,0,Sunday,15,1,2023,0,0,0,0,0,8409.61,7374.3,2477.86,2296.4,2832.82,0,5973.09,29364.08
1/16/2023,26.28,Monday,16,1,2023,0,0,0,0,0,0,8409.61,7374.3,2477.86,2296.4,2832.82,0,23390.99
1/17/2023,8484.86,Tuesday,17,1,2023,"1,408.76",316.75,"1,064.41","1,488.87","1,851.00",26.28,0,8409.61,7374.3,2477.86,2296.4,2832.82,23417.27
1/18/2023,2808.32,Wednesday,18,1,2023,"1,141.50",417.25,637.25,0,0,8484.86,26.28,0,8409.61,7374.3,2477.86,2296.4,29069.31
1/19/2023,2920.55,Thursday,19,1,2023,"1,343.50",362.5,535,0,0,2808.32,8484.86,26.28,0,8409.61,7374.3,2477.86,29581.23
1/20/2023,11609.4,Friday,20,1,2023,"3,293.24",699.25,"2,300.01",0,"2,030.36",2920.55,2808.32,8484.86,26.28,0,8409.61,7374.3,30023.92
1/21/2023,9417.44,Saturday,21,1,2023,"3,800.36",804.5,"1,764.25",0,678.5,11609.4,2920.55,2808.32,8484.86,26.28,0,8409.61,34259.02
1/23/2023,0,Monday,23,1,2023,0,0,0,0,0,9417.44,11609.4,2920.55,2808.32,8484.86,26.28,0,35266.85
1/24/2023,3938.7,Tuesday,24,1,2023,"1,197.01",370.5,918.4,0,307.7,0,9417.44,11609.4,2920.55,2808.32,8484.86,26.28,35266.85
1/25/2023,2193.6,Wednesday,25,1,2023,773.25,545,395.75,0,0,3938.7,0,9417.44,11609.4,2920.55,2808.32,8484.86,39179.27
1/26/2023,3180.5,Thursday,26,1,2023,"1,073.00",513.25,798.5,0,0,2193.6,3938.7,0,9417.44,11609.4,2920.55,2808.32,32888.01
1/27/2023,9317.15,Friday,27,1,2023,"2,994.25",828.75,"2,351.00",0,741,3180.5,2193.6,3938.7,0,9417.44,11609.4,2920.55,33260.19
1/28/2023,14905.21,Saturday,28,1,2023,"3,755.50",820.5,"3,820.11",68,"2,187.50",9317.15,3180.5,2193.6,3938.7,0,9417.44,11609.4,39656.79
